Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Mongolia,CAIT,Total including LUCF,CO2,MtCO₂e,24.42,22.56,21.28,20.48,21.3,21.55,20.31,18.9,18.42,17.75,17.07,17.13,16.53,15.17,13.66,13.39,13.69,13.06,13.21,12.81,12.75,12.71,12.87,14.45,14.5,16.02,17.03,18.93,17.14
Chad,CAIT,Total including LUCF,CO2,MtCO₂e,24.4,24.36,24.35,26.87,26.83,26.82,26.79,26.72,17.7,17.64,17.63,17.55,17.49,17.47,17.45,17.44,17.21,17.2,8.13,8.12,8.1,8.09,8.07,8.06,8.05,8.04,8.03,8.02,8.01
Dominican Republic,CAIT,Total including LUCF,CO2,MtCO₂e,23.56,21.83,22.9,22.27,20.14,20.07,20.47,19.7,18.7,17.69,18.6,18.65,18.38,16.73,15.32,16.78,18.93,17.03,11.39,10.52,9.34,7.24,5.46,4.58,3.87,2.25,2.35,0.96,0.59
Sri Lanka,CAIT,Total including LUCF,CO2,MtCO₂e,23.54,25.22,23.85,20.97,18.22,15.11,17.47,16.07,15.53,14.76,15.28,16.07,14.9,16.48,15.37,14.92,13.89,13.35,15.55,14.12,13.24,12.97,12.98,10.45,10.4,9.72,9.88,8.62,8.47
Uganda,CAIT,Total including LUCF,CO2,MtCO₂e,21.95,21.66,21.5,20.69,20.57,20.1,19.74,19.99,19.68,19.24,19.02,18.78,18.45,18.07,17.62,17.47,17.39,17.19,17.19,17.19,17.16,17.0,16.94,16.83,16.56,16.65,16.65,16.64,16.62
Cuba,CAIT,Total including LUCF,CO2,MtCO₂e,21.92,22.6,25.4,14.78,14.17,14.64,16.14,15.83,20.01,16.85,16.06,16.95,16.05,15.6,14.72,14.97,15.71,16.94,17.38,17.0,16.12,16.58,14.2,12.25,10.79,9.26,11.27,16.6,24.59
New Zealand,CAIT,Total including LUCF,CO2,MtCO₂e,21.59,22.31,20.57,15.47,15.07,15.03,15.3,13.64,8.3,8.49,11.54,10.57,11.48,11.43,10.04,10.62,8.76,8.9,3.6,2.82,1.45,1.93,-0.39,-1.5,-1.61,-1.98,-1.49,-3.27,-3.58
Guatemala,CAIT,Total including LUCF,CO2,MtCO₂e,21.48,19.78,20.73,24.05,21.66,20.72,19.86,19.45,25.16,25.57,24.96,26.12,25.23,25.24,24.47,24.26,24.19,23.53,25.54,24.33,24.41,22.67,22.31,22.48,21.56,21.23,20.95,20.16,20.05
North Korea,CAIT,Total including LUCF,CO2,MtCO₂e,21.41,25.67,33.38,28.5,34.62,31.02,41.7,40.24,53.32,57.06,74.53,67.33,80.64,79.28,76.02,74.43,72.9,76.08,78.18,72.93,67.3,73.88,80.36,89.78,95.11,103.07,111.05,123.71,129.72
Bosnia and Herzegovina,CAIT,Total including LUCF,CO2,MtCO₂e,20.81,20.91,20.6,15.9,15.77,18.13,18.25,20.02,21.19,20.93,21.11,19.23,18.26,16.57,15.92,15.21,14.9,14.11,17.21,13.77,14.02,11.75,7.44,6.63,6.42,16.66,19.22,24.7,27.22
Sweden,CAIT,Total including LUCF,CO2,MtCO₂e,19.68,21.76,22.14,17.0,16.89,18.3,19.9,22.31,37.15,31.76,34.94,35.88,37.61,38.88,42.17,43.7,42.49,40.95,55.31,59.21,60.26,59.26,65.52,60.1,60.35,58.36,58.61,56.1,55.21
Benin,CAIT,Total including LUCF,CO2,MtCO₂e,18.62,18.07,17.94,16.7,16.22,15.73,15.45,15.69,15.8,15.41,15.06,15.1,14.54,13.49,13.24,13.09,12.83,12.55,16.52,16.41,16.29,16.23,16.05,15.45,15.4,15.41,15.35,15.33,15.37
Norway,CAIT,Total including LUCF,CO2,MtCO₂e,18.43,17.95,18.99,19.7,19.34,19.27,20.16,21.2,19.05,14.63,14.23,15.16,14.51,13.52,14.6,14.25,11.6,11.91,19.02,24.3,22.47,20.75,18.99,18.05,18.63,16.98,15.4,12.21,14.15
Somalia,CAIT,Total including LUCF,CO2,MtCO₂e,18.04,18.01,18.01,18.0,18.0,18.01,17.98,17.99,17.98,17.97,17.97,17.98,17.93,17.93,17.93,17.93,17.92,17.86,17.84,17.85,17.87,17.9,17.93,17.95,17.98,17.99,18.03,18.06,18.08
Estonia,CAIT,Total including LUCF,CO2,MtCO₂e,17.96,18.21,17.58,9.21,11.67,13.04,10.63,11.9,17.58,13.63,16.96,18.52,14.54,15.77,15.55,15.44,13.46,13.87,13.38,13.7,14.59,15.09,15.46,14.48,16.08,16.52,21.97,29.58,33.23
Trinidad and Tobago,CAIT,Total including LUCF,CO2,MtCO₂e,17.88,18.32,18.35,21.37,22.03,22.84,22.23,23.3,22.76,20.33,21.28,22.21,22.36,19.8,16.11,15.45,16.15,15.57,14.44,14.29,14.18,13.85,13.38,13.24,13.1,12.56,12.01,13.08,14.19
Guyana,CAIT,Total including LUCF,CO2,MtCO₂e,16.51,16.39,16.39,18.76,18.77,18.7,18.74,18.58,10.84,10.7,10.68,10.69,10.42,10.57,10.78,10.3,10.3,10.32,9.63,9.68,9.51,9.47,9.22,8.89,8.38,8.06,8.05,8.12,8.15
Guinea,CAIT,Total including LUCF,CO2,MtCO₂e,15.35,15.19,15.04,13.68,13.38,13.31,13.62,13.75,13.58,13.2,13.09,13.06,12.99,12.92,12.86,12.79,12.72,12.67,12.24,12.2,12.13,12.05,12.0,11.93,11.9,11.86,11.83,11.8,11.78
Honduras,CAIT,Total including LUCF,CO2,MtCO₂e,15.3,14.53,14.92,15.76,15.36,15.24,15.04,14.68,13.56,13.5,14.01,13.96,13.39,12.38,12.97,12.13,11.49,11.21,10.57,10.31,10.24,9.6,9.46,9.42,8.8,8.45,8.28,8.0,7.99
Nepal,CAIT,Total including LUCF,CO2,MtCO₂e,14.97,13.98,12.3,9.48,10.15,9.1,9.01,8.21,0.48,-0.28,-1.16,-1.46,-1.53,-0.96,-1.33,-1.12,-1.35,-0.67,1.93,1.81,0.73,0.59,0.35,0.29,0.18,-0.36,-0.54,-0.59,-0.83
Namibia,CAIT,Total including LUCF,CO2,MtCO₂e,14.81,14.89,14.92,14.83,14.56,14.38,14.1,13.88,13.69,13.59,13.52,13.18,13.1,13.09,12.94,12.83,12.69,13.02,12.5,12.54,12.58,12.53,12.48,12.33,12.2,11.98,11.78,11.68,N/A
Liberia,CAIT,Total including LUCF,CO2,MtCO₂e,14.76,14.7,14.85,14.7,14.66,14.36,14.4,14.29,14.17,13.98,13.98,14.08,14.13,14.11,14.0,13.92,13.88,13.89,13.85,13.81,13.9,13.86,13.84,13.82,13.82,13.82,13.8,13.77,13.85
Panama,CAIT,Total including LUCF,CO2,MtCO₂e,14.53,14.65,15.17,15.1,15.68,15.0,14.86,14.39,13.58,13.09,11.7,11.88,11.89,11.52,10.01,9.93,9.81,10.62,11.27,11.0,11.71,10.63,10.4,10.35,10.03,9.79,9.63,9.12,8.68
Slovenia,CAIT,Total including LUCF,CO2,MtCO₂e,14.39,14.49,14.27,10.54,10.55,11.97,12.54,13.1,4.28,4.01,5.86,4.77,4.78,4.4,4.18,3.89,4.0,3.85,5.18,5.54,6.1,6.32,5.89,5.07,4.2,4.16,3.42,3.34,4.13
Central African Republic,CAIT,Total including LUCF,CO2,MtCO₂e,14.31,14.29,14.29,14.28,14.28,14.27,14.27,14.26,14.24,14.23,14.23,14.23,14.22,14.2,14.2,14.2,14.21,14.22,14.2,14.2,14.19,14.13,14.13,14.13,14.12,14.12,14.11,14.11,14.12
Senegal,CAIT,Total including LUCF,CO2,MtCO₂e,14.19,13.9,14.25,13.76,13.04,12.48,11.93,12.04,13.39,13.02,12.77,12.57,11.94,12.03,11.76,10.85,10.95,10.82,8.95,8.85,8.48,8.1,7.81,7.65,7.49,7.39,7.46,7.22,7.21
Republic of Congo,CAIT,Total including LUCF,CO2,MtCO₂e,13.69,13.66,13.76,12.91,13.55,13.41,14.11,13.99,14.02,14.45,14.42,14.09,13.94,13.79,11.81,11.9,11.79,11.98,12.04,12.28,12.54,12.64,12.14,12.33,12.21,12.43,12.45,12.51,10.27
Madagascar,CAIT,Total including LUCF,CO2,MtCO₂e,13.49,13.61,13.33,13.43,13.15,13.03,12.85,12.3,23.91,23.72,23.82,23.76,23.67,23.73,23.67,23.57,23.14,23.69,30.57,30.58,30.46,30.24,30.12,30.18,29.97,29.75,29.72,29.71,29.65
Croatia,CAIT,Total including LUCF,CO2,MtCO₂e,12.24,13.14,12.59,15.18,14.84,15.54,15.96,17.54,18.63,19.48,20.91,22.06,20.79,20.63,20.27,20.78,19.45,18.37,17.19,17.65,17.62,16.2,14.49,14.55,13.98,14.64,14.1,13.78,19.48
Suriname,CAIT,Total including LUCF,CO2,MtCO₂e,11.44,11.49,11.67,11.0,10.89,10.54,10.69,10.2,5.71,5.42,5.42,5.38,5.5,5.66,5.37,5.04,4.92,5.32,4.94,5.58,5.49,5.47,5.44,5.36,5.28,5.28,5.27,5.26,4.98
Gabon,CAIT,Total including LUCF,CO2,MtCO₂e,11.08,11.15,12.16,11.93,11.95,12.15,12.27,12.09,7.95,7.39,7.32,7.24,7.23,7.82,7.62,7.56,7.49,7.73,8.32,8.47,8.54,8.44,8.32,8.21,8.05,8.31,8.22,7.96,7.74
Lithuania,CAIT,Total including LUCF,CO2,MtCO₂e,10.95,10.6,10.59,4.98,4.78,5.27,5.86,5.78,12.64,11.72,13.11,13.26,13.07,12.88,11.98,11.32,11.31,11.25,11.12,12.86,15.35,14.57,14.89,14.42,15.5,16.42,20.67,34.96,32.89
Kenya,CAIT,Total including LUCF,CO2,MtCO₂e,10.78,11.27,11.15,25.38,23.32,22.39,20.42,21.33,27.75,26.82,25.03,24.48,24.41,23.44,22.55,21.64,22.54,22.73,3.88,3.13,2.81,2.29,2.62,2.02,1.51,1.51,1.6,1.54,1.78
Equatorial Guinea,CAIT,Total including LUCF,CO2,MtCO₂e,10.51,9.46,9.43,10.97,11.92,13.18,13.84,13.54,13.35,13.49,12.81,11.38,13.0,11.92,11.08,8.99,7.86,6.56,6.18,5.65,5.45,5.46,5.34,4.83,4.83,4.82,3.9,3.9,3.89
South Sudan,CAIT,Total including LUCF,CO2,MtCO₂e,10.28,10.44,10.67,8.51,8.07,8.02,7.99,6.95,7.17,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.17,7.06,7.06,7.03,7.02,7.01,7.01,6.94,6.94,6.94,6.94,6.94
Malawi,CAIT,Total including LUCF,CO2,MtCO₂e,9.71,9.65,9.5,9.34,9.24,9.39,9.3,9.32,9.22,9.3,9.29,9.16,9.11,9.1,9.09,9.06,9.05,9.06,9.06,9.13,9.08,9.1,9.05,9.05,9.04,9.02,8.93,8.93,8.86
Georgia,CAIT,Total including LUCF,CO2,MtCO₂e,9.46,9.63,9.65,9.2,8.47,7.84,7.19,6.52,1.81,2.11,1.32,2.11,1.18,0.73,-0.14,-0.36,-0.56,0.0,-13.5,-13.75,-13.28,-12.75,-11.9,-10.09,-7.82,-2.17,1.81,7.24,15.22
Yemen,CAIT,Total including LUCF,CO2,MtCO₂e,9.31,10.06,10.88,14.21,26.71,26.35,19.68,20.69,23.99,25.65,22.01,20.63,19.41,19.38,18.4,17.4,15.14,15.08,13.89,13.17,11.73,10.85,10.08,9.87,8.48,8.12,9.13,8.5,6.64
Luxembourg,CAIT,Total including LUCF,CO2,MtCO₂e,9.04,8.72,8.58,8.89,9.41,9.91,10.45,10.69,10.54,9.95,10.53,10.62,11.22,11.42,11.17,9.75,9.33,8.63,8.03,7.31,6.95,7.63,8.12,8.04,10.2,11.03,10.83,11.14,10.68
Moldova,CAIT,Total including LUCF,CO2,MtCO₂e,8.7,8.26,8.25,7.57,7.27,6.73,7.69,7.9,7.29,6.63,7.14,7.13,6.97,7.17,6.77,6.76,6.18,6.02,6.4,7.05,8.35,9.28,10.1,11.84,13.83,17.11,20.02,24.3,30.23
Jamaica,CAIT,Total including LUCF,CO2,MtCO₂e,8.69,7.37,7.93,7.53,7.64,7.82,7.35,7.83,5.05,5.45,7.19,9.59,9.63,8.13,8.14,8.16,7.82,7.65,10.5,10.41,10.12,9.57,9.41,9.05,8.74,8.68,8.51,7.76,7.83
El Salvador,CAIT,Total including LUCF,CO2,MtCO₂e,7.89,7.46,8.25,8.08,7.67,7.54,7.85,7.86,7.62,7.76,7.99,8.71,8.32,7.92,7.76,7.59,7.02,6.95,6.71,6.69,6.75,6.4,5.47,6.04,5.54,5.0,4.44,4.15,3.46
Kyrgyzstan,CAIT,Total including LUCF,CO2,MtCO₂e,7.73,6.08,6.43,9.53,8.97,8.64,9.32,6.88,6.34,6.75,7.5,6.46,5.31,5.29,5.55,5.58,4.96,3.96,3.65,3.77,5.01,4.67,4.75,3.58,5.52,9.09,12.78,19.4,21.74
Afghanistan,CAIT,Total including LUCF,CO2,MtCO₂e,7.59,7.53,7.55,7.74,7.56,8.27,10.2,12.02,8.79,6.12,4.51,2.49,2.06,1.76,1.25,1.47,1.22,0.93,-1.62,-1.57,-1.34,-1.29,-1.21,-1.14,-1.08,-1.03,-0.96,0.35,0.58
Brunei,CAIT,Total including LUCF,CO2,MtCO₂e,7.47,7.03,6.79,6.35,7.37,7.36,7.48,7.36,8.11,8.7,8.48,8.1,8.48,6.11,6.2,6.65,5.66,5.66,5.75,5.5,8.74,6.58,6.07,6.03,5.66,5.38,5.1,4.9,5.43
Macedonia,CAIT,Total including LUCF,CO2,MtCO₂e,7.37,7.86,7.39,7.48,7.78,8.24,9.13,9.64,8.73,8.96,9.58,9.81,9.37,9.36,8.92,9.21,8.43,8.99,8.82,9.14,9.88,9.04,10.11,8.57,8.59,8.89,8.59,8.38,8.59
Bulgaria,CAIT,Total including LUCF,CO2,MtCO₂e,7.32,10.24,7.94,32.57,30.12,27.7,33.01,37.56,21.29,19.41,26.47,29.07,25.41,24.32,23.63,24.35,20.08,22.63,21.56,22.53,28.83,31.61,33.3,32.94,31.76,33.91,33.38,36.85,51.81
Tajikistan,CAIT,Total including LUCF,CO2,MtCO₂e,7.2,6.25,5.83,4.36,4.07,2.76,2.59,2.14,2.07,2.04,2.68,2.9,2.32,2.1,2.23,1.82,1.78,1.8,2.23,2.58,2.8,2.55,2.27,2.54,3.06,5.19,7.71,10.21,11.05
Cyprus,CAIT,Total including LUCF,CO2,MtCO₂e,6.98,7.05,6.9,6.46,6.43,6.07,6.7,7.23,7.55,7.91,8.13,7.97,7.67,7.61,7.45,7.51,6.85,6.67,7.0,6.74,6.48,6.18,6.09,5.73,5.86,5.62,5.36,5.0,4.49
Belize,CAIT,Total including LUCF,CO2,MtCO₂e,5.92,5.88,5.87,6.13,5.96,5.97,6.16,6.11,3.81,4.72,3.74,3.78,3.75,3.7,3.68,3.74,3.76,3.76,6.97,6.95,7.01,7.01,6.92,7.02,7.01,7.02,7.06,6.99,6.89
Mali,CAIT,Total including LUCF,CO2,MtCO₂e,5.62,5.05,4.42,3.41,3.12,3.05,3.11,3.12,2.78,2.51,2.09,2.07,1.89,1.65,1.48,1.4,1.4,1.61,1.41,0.8,0.77,0.53,0.49,0.47,0.47,0.46,0.45,0.43,0.42
Armenia,CAIT,Total including LUCF,CO2,MtCO₂e,5.59,5.36,5.1,5.26,5.4,5.42,5.64,4.86,4.46,4.63,5.81,5.33,4.61,4.58,3.89,3.62,3.24,3.73,3.69,3.24,3.6,3.47,2.71,3.64,2.87,5.17,11.02,20.82,19.98
Albania,CAIT,Total including LUCF,CO2,MtCO₂e,5.32,5.37,4.7,4.23,4.37,3.95,3.74,4.2,3.46,3.2,3.05,3.1,2.94,2.95,3.18,2.99,2.63,2.11,3.36,3.16,1.99,1.67,2.16,2.14,2.33,2.26,2.43,4.3,6.24
Latvia,CAIT,Total including LUCF,CO2,MtCO₂e,4.85,4.33,4.37,4.64,4.6,4.8,4.92,5.24,-5.28,-6.45,-5.71,-5.3,-5.65,-6.14,-6.24,-6.29,-6.54,-6.54,-5.77,-5.24,-4.72,-4.34,-3.87,-3.89,-2.74,-1.2,1.01,4.27,5.84
Uruguay,CAIT,Total including LUCF,CO2,MtCO₂e,4.75,4.31,4.76,-0.31,-0.4,0.46,1.62,0.71,-3.69,-2.3,-2.22,-4.12,-3.64,-4.56,-4.51,-5.48,-5.44,-5.02,-7.78,-6.45,-7.45,-7.68,-7.78,-8.54,-8.97,-8.75,-8.47,-8.87,-9.39
Sierra Leone,CAIT,Total including LUCF,CO2,MtCO₂e,4.36,4.31,4.31,4.28,4.52,4.41,4.24,4.11,3.94,3.89,3.9,3.88,3.97,3.83,3.91,3.93,3.88,3.77,3.74,3.5,3.61,3.57,3.64,3.6,3.83,3.81,3.8,3.7,3.69
Mauritius,CAIT,Total including LUCF,CO2,MtCO₂e,4.11,4.15,4.01,3.97,3.96,3.82,3.73,3.64,3.75,3.51,3.55,3.48,3.39,3.05,2.85,2.83,2.7,2.65,2.41,2.18,1.77,1.6,1.59,1.53,1.49,1.45,1.3,1.23,1.14
Burundi,CAIT,Total including LUCF,CO2,MtCO₂e,4.07,4.06,3.96,-1.0,-1.02,-1.0,-1.01,-1.04,3.86,3.73,3.73,3.73,3.73,3.69,3.68,3.7,3.74,3.74,5.87,5.84,5.79,5.76,5.74,5.72,5.6,5.6,5.59,5.62,5.58
Haiti,CAIT,Total including LUCF,CO2,MtCO₂e,3.96,4.0,4.04,3.97,3.71,3.38,3.15,3.45,2.53,2.06,2.1,2.11,1.79,1.78,1.74,1.88,1.89,1.67,1.54,1.45,1.38,1.34,1.13,0.97,0.26,0.77,0.97,1.07,1.09
Niger,CAIT,Total including LUCF,CO2,MtCO₂e,3.53,3.31,3.22,3.2,3.21,3.02,3.12,2.64,2.6,2.32,2.1,2.05,1.98,1.99,2.02,1.99,1.93,1.9,6.34,6.35,6.37,6.32,6.31,6.23,6.25,6.27,6.2,6.24,6.27
Togo,CAIT,Total including LUCF,CO2,MtCO₂e,3.07,2.88,3.11,2.76,2.53,2.69,3.17,3.45,3.57,3.77,2.51,2.44,2.51,2.69,2.72,2.78,2.29,2.12,3.93,4.37,3.86,3.43,4.02,3.64,3.57,3.3,3.41,3.59,3.64
Mauritania,CAIT,Total including LUCF,CO2,MtCO₂e,2.92,2.72,1.73,3.34,2.91,2.59,2.79,2.59,2.47,2.39,2.19,2.11,1.85,1.84,1.81,1.7,1.66,1.57,1.51,1.51,1.39,1.45,1.46,1.4,1.34,1.31,1.29,1.26,1.24
Rwanda,CAIT,Total including LUCF,CO2,MtCO₂e,2.73,2.72,2.73,2.7,2.59,2.56,2.5,2.42,3.24,3.23,3.2,3.21,3.18,3.18,3.18,3.18,3.19,3.2,3.43,3.41,3.39,3.39,3.37,3.37,3.36,3.38,3.38,3.38,3.43
Lesotho,CAIT,Total including LUCF,CO2,MtCO₂e,2.57,2.44,2.27,2.23,2.31,2.29,2.28,2.21,2.16,2.1,2.01,1.96,1.92,1.9,1.87,1.82,1.8,1.77,1.75,1.72,1.71,1.67,1.64,1.61,1.58,1.54,1.5,1.45,1.39
Montenegro,CAIT,Total including LUCF,CO2,MtCO₂e,2.55,2.25,2.14,2.39,2.25,2.3,2.36,2.56,-1.55,-2.38,-1.44,-2.03,-1.95,-2.12,-4.13,-4.13,-4.13,-4.13,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34
Bahamas,CAIT,Total including LUCF,CO2,MtCO₂e,2.26,2.15,2.19,2.37,2.62,3.11,3.64,2.42,2.08,6.02,2.11,2.07,2.02,2.02,2.16,2.25,2.28,2.13,2.14,2.23,2.27,1.77,1.97,2.08,2.04,2.1,2.53,1.88,1.78
Iceland,CAIT,Total including LUCF,CO2,MtCO₂e,2.11,2.09,1.98,1.98,1.97,1.95,1.78,1.81,1.93,2.08,2.16,2.36,2.31,2.26,2.29,2.2,2.22,2.14,2.24,2.13,2.17,2.17,2.28,2.02,2.11,2.0,1.96,1.93,1.96
Maldives,CAIT,Total including LUCF,CO2,MtCO₂e,1.91,1.82,1.75,1.35,1.36,1.13,1.14,1.01,0.96,0.91,0.87,0.87,0.87,0.71,0.74,0.53,0.61,0.48,0.46,0.43,0.31,0.34,0.28,0.26,0.2,0.2,0.23,0.16,0.16
Guinea-Bissau,CAIT,Total including LUCF,CO2,MtCO₂e,1.8,1.78,1.78,1.77,1.76,1.75,1.74,1.73,1.73,1.72,1.71,1.72,1.7,1.7,1.69,1.68,1.64,1.64,1.63,1.68,1.66,1.68,1.66,1.67,1.67,1.67,1.66,1.66,1.66
Malta,CAIT,Total including LUCF,CO2,MtCO₂e,1.54,1.51,1.34,1.65,2.35,2.37,2.71,2.57,2.58,2.5,2.72,2.71,2.65,2.62,2.6,2.61,2.32,2.49,2.13,2.41,2.37,2.47,2.32,2.38,2.51,2.81,2.17,2.21,2.31
Barbados,CAIT,Total including LUCF,CO2,MtCO₂e,1.25,1.19,1.31,1.29,1.29,1.48,2.21,1.66,1.59,4.62,1.78,1.48,1.47,1.41,1.36,1.38,1.37,1.31,1.24,1.3,1.27,1.17,1.07,1.07,1.03,0.99,1.18,0.98,0.98
Eritrea,CAIT,Total including LUCF,CO2,MtCO₂e,1.24,1.17,1.11,1.03,1.06,1.03,1.01,0.96,0.96,0.93,0.9,0.97,0.98,1.06,1.14,1.15,1.14,1.15,1.07,1.08,1.05,1.26,1.31,1.23,1.17,1.07,0.87,0.43,0.43
Gambia,CAIT,Total including LUCF,CO2,MtCO₂e,1.1,1.07,1.06,1.06,1.04,0.97,0.99,0.98,0.97,1.01,0.96,0.93,0.89,0.86,0.85,0.83,0.83,0.84,0.77,0.79,0.77,0.76,0.75,0.74,0.73,0.73,0.73,0.73,0.72
Timor-Leste,CAIT,Total including LUCF,CO2,MtCO₂e,1.1,1.07,1.15,1.07,0.99,0.92,0.76,0.71,0.71,0.7,0.67,0.67,0.67,0.67,0.66,0.63,0.63,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
Eswatini,CAIT,Total including LUCF,CO2,MtCO₂e,0.96,0.91,1.1,0.9,0.83,1.42,0.93,0.89,0.88,0.94,0.89,0.91,0.88,0.88,0.86,0.87,0.94,0.95,1.0,1.09,1.01,0.98,0.65,0.87,0.91,0.6,0.7,0.81,0.82
Costa Rica,CAIT,Total including LUCF,CO2,MtCO₂e,0.95,0.88,0.79,0.25,0.54,0.51,0.18,0.16,6.65,6.74,7.06,7.14,6.09,5.81,5.48,5.34,5.07,4.97,7.41,7.5,7.48,6.96,6.99,7.28,7.32,6.65,6.61,5.53,5.33
Seychelles,CAIT,Total including LUCF,CO2,MtCO₂e,0.62,0.59,0.54,0.5,0.46,0.41,0.45,0.4,0.44,0.51,0.7,0.65,0.74,0.7,0.75,0.55,0.54,0.64,0.58,0.52,0.44,0.35,0.24,0.2,0.21,0.19,0.18,0.18,0.15
Cape Verde,CAIT,Total including LUCF,CO2,MtCO₂e,0.56,0.53,0.48,0.44,0.44,0.44,0.47,0.5,0.48,0.45,0.41,0.4,0.44,0.38,0.27,0.24,0.22,0.18,-0.29,-0.32,-0.35,-0.37,-0.37,-0.39,-0.4,-0.4,-0.4,-0.41,-0.41
Antigua and Barbuda,CAIT,Total including LUCF,CO2,MtCO₂e,0.53,0.5,0.5,0.49,0.48,0.47,0.72,0.51,0.49,1.39,0.48,0.46,0.44,0.41,0.4,0.41,0.39,0.35,0.33,0.33,0.33,0.3,0.28,0.27,0.25,0.25,0.29,0.22,0.21
Djibouti,CAIT,Total including LUCF,CO2,MtCO₂e,0.49,0.47,0.49,0.54,0.46,0.56,0.51,0.48,0.52,0.46,0.47,0.47,0.43,0.43,0.4,0.41,0.4,0.38,0.37,0.35,0.35,0.35,0.34,0.33,0.33,0.34,0.34,0.34,0.33
Andorra,CAIT,Total including LUCF,CO2,MtCO₂e,0.46,0.47,0.47,0.47,0.46,0.48,0.49,0.49,0.52,0.52,0.54,0.54,0.55,0.58,0.56,0.53,0.53,0.52,0.52,0.51,0.49,0.47,0.45,0.43,0.41,0.41,0.41,0.41,0.41
Samoa,CAIT,Total including LUCF,CO2,MtCO₂e,0.43,0.41,0.4,0.35,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.3,0.3,0.29,0.28,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22
Sao Tome and Principe,CAIT,Total including LUCF,CO2,MtCO₂e,0.35,0.35,0.34,0.34,0.33,0.34,0.33,0.32,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.06
Comoros,CAIT,Total including LUCF,CO2,MtCO₂e,0.32,0.31,0.26,0.24,0.22,0.24,0.21,0.21,0.22,0.19,0.18,0.18,0.21,0.2,0.21,0.19,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12
Grenada,CAIT,Total including LUCF,CO2,MtCO₂e,0.3,0.29,0.28,0.27,0.25,0.32,0.42,0.29,0.29,0.81,0.29,0.28,0.26,0.25,0.23,0.25,0.24,0.23,0.21,0.22,0.23,0.2,0.19,0.17,0.16,0.15,0.16,0.12,0.11
Palau,CAIT,Total including LUCF,CO2,MtCO₂e,0.29,0.27,0.26,0.22,0.22,0.22,0.21,0.22,0.21,0.2,0.21,0.24,0.25,0.26,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0
Saint Vincent and the Grenadines,CAIT,Total including LUCF,CO2,MtCO₂e,0.28,0.27,0.27,0.22,0.29,0.22,0.4,0.23,0.25,0.99,0.22,0.3,0.25,0.25,0.25,0.23,0.23,0.21,0.12,0.14,0.15,0.11,0.1,0.1,0.09,0.08,0.07,0.04,0.03
Saint Kitts and Nevis,CAIT,Total including LUCF,CO2,MtCO₂e,0.26,0.24,0.25,0.24,0.23,0.23,0.35,0.26,0.24,0.7,0.25,0.25,0.23,0.22,0.24,0.23,0.23,0.21,0.19,0.18,0.18,0.16,0.15,0.15,0.15,0.14,0.15,0.11,0.11
Saint Lucia,CAIT,Total including LUCF,CO2,MtCO₂e,0.24,0.22,0.2,0.23,0.21,0.17,0.38,0.24,0.28,0.93,0.2,0.19,0.29,0.26,0.3,0.3,0.26,0.29,0.22,0.23,0.23,0.18,0.18,0.17,0.14,0.13,0.13,0.04,0.03
Marshall Islands,CAIT,Total including LUCF,CO2,MtCO₂e,0.19,0.18,0.18,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.11,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.0,0.0
Tonga,CAIT,Total including LUCF,CO2,MtCO₂e,0.19,0.18,0.15,0.11,0.11,0.12,0.11,0.11,0.12,0.14,0.13,0.13,0.15,0.13,0.13,0.12,0.1,0.1,0.1,0.11,0.1,0.09,0.08,0.1,0.09,0.09,0.08,0.09,0.08
Vanuatu,CAIT,Total including LUCF,CO2,MtCO₂e,0.18,0.17,0.18,0.14,0.16,0.11,0.12,0.13,0.13,0.13,0.1,0.11,0.07,0.07,0.07,0.09,0.08,0.09,0.09,0.09,0.08,0.09,0.09,0.07,0.06,0.06,0.06,0.07,0.07
Dominica,CAIT,Total including LUCF,CO2,MtCO₂e,0.16,0.15,0.17,0.17,0.17,0.17,0.25,0.16,0.17,0.49,0.17,0.17,0.16,0.15,0.14,0.13,0.11,0.14,0.19,0.17,0.16,0.16,0.13,0.15,0.13,0.13,0.14,0.12,0.12
